Client_Income,Credit_Amount,Loan_Annuity,Age_Days,Employed_Days,Registration_Days,ID_Days,Phone_Change,Credit_Bureau,Divorce,Education_Days
11250.0,51856.2,3479.4,18101.0,3842.0,7757.0,4295.0,1493.0,1.0,0,4380
15750.0,54504.0,2650.95,13592.0,2835.0,2166.0,685.0,1595.0,4.0,0,4380
15750.0,112500.0,3629.25,9641.0,283.0,687.0,3368.0,429.0,5.0,0,5840
18000.0,54504.0,2664.0,9312.0,430.0,715.0,736.0,1258.0,1.0,0,4380
22500.0,81000.0,3165.3,9104.0,1201.0,1707.0,1363.0,0.0,0.0,0,4380
15750.0,29008.8,1787.4,12279.0,4040.0,6685.0,4467.0,1205.0,7.0,0,4380
36000.0,100692.0,4279.05,16605.0,2528.0,3573.0,3813.0,637.0,4.0,0,4380
6750.0,31276.8,1390.5,20205.0,365243.0,7933.0,4798.0,0.0,0.0,0,4380
18000.0,84095.1,3576.15,9865.0,1845.0,7522.0,4322.0,3300.0,5.0,0,5840
22500.0,75519.0,6939.45,9849.0,2016.0,1421.0,1953.0,0.0,2.0,0,5840
9000.0,57362.85,2772.45,10349.0,243.0,414.0,2129.0,294.0,4.0,0,5840
18000.0,45000.0,2753.1,15288.0,3141.0,11265.0,2484.0,2591.0,4.0,0,4380
9900.0,24753.6,945.9,10374.0,520.0,4605.0,3023.0,1251.0,2.0,0,4380
12600.0,54504.0,2664.0,14281.0,5437.0,1534.0,1466.0,702.0,1.0,1,4380
8550.0,45000.0,3020.4,10290.0,1906.0,4381.0,2974.0,1581.0,5.0,0,4380
13500.0,90000.0,2644.65,10000.0,734.0,1011.0,4344.0,3026.0,2.0,0,3285
11250.0,49049.55,2626.2,15709.0,365243.0,442.0,3.0,694.0,0.0,0,4380
22500.0,25470.0,3035.7,15356.0,563.0,2267.0,2560.0,571.0,6.0,0,5840
11250.0,31500.0,1575.0,19637.0,365243.0,12080.0,4928.0,142.0,3.0,0,4380
15750.0,20250.0,1012.5,14003.0,3736.0,680.0,1209.0,1571.0,1.0,0,4380
18000.0,13500.0,675.0,18437.0,13837.0,188.0,4694.0,1935.0,5.0,0,4380
36000.0,27846.0,2566.8,10929.0,3318.0,3674.0,3611.0,0.0,1.0,1,5840
9000.0,59301.0,2297.7,14205.0,467.0,6923.0,1402.0,670.0,5.0,0,4380
11250.0,36000.0,2619.45,10480.0,172.0,1633.0,4984.0,385.0,8.0,0,4380
20250.0,45000.0,2188.8,10483.0,1371.0,3060.0,4672.0,893.0,1.0,1,4380
31500.0,76500.0,3825.0,11272.0,248.0,3287.0,238.0,1150.0,7.0,0,5840
9000.0,22752.0,1520.1,10683.0,750.0,1426.0,3112.0,1475.0,1.0,0,4380
18000.0,52486.65,1991.7,16701.0,7063.0,8275.0,3552.0,628.0,2.0,0,4380
8100.0,32702.4,1187.55,19483.0,365243.0,12980.0,4412.0,1219.0,3.0,0,4380
14400.0,64008.0,3126.15,9592.0,3168.0,2837.0,4008.0,662.0,3.0,0,4380
18000.0,128835.0,3411.45,10952.0,1299.0,1169.0,2219.0,544.0,3.0,0,5840
18000.0,105726.6,4492.35,18575.0,3252.0,4400.0,4408.0,14.0,3.0,0,4380
13500.0,45000.0,2732.4,13070.0,171.0,5373.0,264.0,0.0,1.0,1,4380
